date,sector,sector_display,headline_count,ticker_count_with_news,ticker_coverage,plain_compound,finance_compound,mean_reliability,evidence_aware_compound,plain_z,finance_z,evidence_aware_z
2020-01-02,Comm,Comm/Telecom,11,4,0.80000000000000004,0.10897499999999999,0.10897499999999999,0.25,0.059391666666666669,NA,NA,NA
2020-01-02,Consumer,Consumer,22,5,1,-0.068945476190476182,-0.068945476190476182,0.17999999999999999,-0.033799666666666665,NA,NA,NA
2020-01-02,Energy,Energy,21,5,1,0.19246166666666667,0.065101666666666655,0.13015873015873014,0.023475555555555548,NA,NA,NA
2020-01-02,Financials,Financials,12,5,1,0.10718533333333333,0.089269333333333339,0.2166666666666667,0.071978666666666663,NA,NA,NA
2020-01-02,Healthcare,Healthcare,23,5,1,0.21549047619047618,0.20703333333333332,0.33071428571428574,0.082348380952380951,NA,NA,NA
2020-01-02,Industrials,Industrials,13,5,1,0.084080000000000002,0.08474000000000001,0.13999999999999999,0.038620000000000002,NA,NA,NA
2020-01-02,Materials,Materials,7,3,0.59999999999999998,0.18291666666666664,0.18291666666666664,0.22222222222222221,0.060972222222222212,NA,NA,NA
2020-01-02,RealEstate,Real Estate,3,2,0.40000000000000002,0.018100000000000005,0.018100000000000005,0,0,NA,NA,NA
2020-01-02,Tech,Tech,25,4,0.80000000000000004,0.07698871794871795,0.074186794871794873,0.20833333333333334,0.029086593406593413,NA,NA,NA
2020-01-02,Utilities,Utilities,1,1,0.20000000000000001,0.63690000000000002,0.63690000000000002,0.5,0.31845000000000001,NA,NA,NA
2020-01-03,Comm,Comm/Telecom,3,2,0.40000000000000002,0.135575,0.135575,0.16666666666666666,0.045191666666666665,NA,NA,NA
2020-01-03,Consumer,Consumer,10,4,0.80000000000000004,-0.21779166666666666,-0.18654166666666666,0.1875,-0.094610416666666669,NA,NA,NA
2020-01-03,Energy,Energy,28,5,1,-0.046189727272727285,-0.15063433333333334,0.20904761904761907,-0.049208936507936514,NA,NA,NA
2020-01-03,Financials,Financials,8,3,0.59999999999999998,0.084091666666666676,0.026025000000000003,0.1111111111111111,0.020066666666666667,NA,NA,NA
2020-01-03,Healthcare,Healthcare,6,2,0.40000000000000002,0.2093875,0.13564999999999999,0.43333333333333335,0.093443333333333337,NA,NA,NA
2020-01-03,Industrials,Industrials,7,4,0.80000000000000004,-0.15609999999999999,-0.17836250000000001,0.20833333333333331,-0.066312499999999996,NA,NA,NA
2020-01-03,Materials,Materials,3,2,0.40000000000000002,-0.070750000000000007,-0.088725000000000026,0.58333333333333326,-0.090966666666666682,NA,NA,NA
2020-01-03,RealEstate,Real Estate,5,3,0.59999999999999998,-0.064033333333333345,-0.16270000000000001,0.16666666666666666,-0.053033333333333328,NA,NA,NA
2020-01-03,Tech,Tech,17,4,0.80000000000000004,0.09808526785714286,0.09808526785714286,0.2951388888888889,0.05799231150793651,NA,NA,NA
2020-01-03,Utilities,Utilities,4,2,0.40000000000000002,0.14085,0.092899999999999996,0.125,0.023224999999999999,NA,NA,NA
2020-01-06,Comm,Comm/Telecom,16,3,0.59999999999999998,0.17380972222222221,0.17380972222222221,0.32804232804232802,0.062166005291005279,NA,NA,NA
2020-01-06,Consumer,Consumer,44,5,1,0.10678931372549019,0.10660335784313726,0.21281045751633987,0.03268716666666667,NA,NA,NA
2020-01-06,Energy,Energy,34,5,1,0.085439696969696971,0.0059938636363636331,0.086296296296296288,-0.00034885858585858594,NA,NA,NA
2020-01-06,Financials,Financials,12,5,1,0.284306,0.21976000000000001,0.43333333333333329,0.095506666666666656,NA,NA,NA
2020-01-06,Healthcare,Healthcare,12,5,1,0.32718000000000003,0.32718000000000003,0.5,0.18764,NA,NA,NA
2020-01-06,Industrials,Industrials,14,3,0.59999999999999998,0.073528703703703693,0.030995370370370371,0.12,0.0086533333333333341,NA,NA,NA
2020-01-06,Materials,Materials,9,4,0.80000000000000004,-0.069764999999999994,-0.084565000000000001,0.20833333333333334,-0.044934166666666664,NA,NA,NA
2020-01-06,RealEstate,Real Estate,4,3,0.59999999999999998,0.14799999999999999,0,0,0,NA,NA,NA
2020-01-06,Tech,Tech,13,5,1,-0.013116666666666676,-0.021246666666666671,0.26190476190476192,-0.023335714285714283,NA,NA,NA
2020-01-06,Utilities,Utilities,6,4,0.80000000000000004,0.011312500000000003,0.011312500000000003,0.20833333333333331,-0.0076125000000000012,NA,NA,NA
2020-01-07,Comm,Comm/Telecom,5,3,0.59999999999999998,0.29263333333333336,0.29263333333333336,0.16666666666666666,0.14631666666666668,NA,NA,NA
2020-01-07,Consumer,Consumer,22,5,1,0.14723849999999999,0.15024099999999999,0.27555555555555555,0.057392777777777772,NA,NA,NA
2020-01-07,Energy,Energy,12,3,0.59999999999999998,0.07934999999999999,0.046155555555555554,0.13095238095238096,0.01064126984126984,NA,NA,NA
2020-01-07,Financials,Financials,11,4,0.80000000000000004,0.14052500000000001,0.125725,0.17499999999999999,0.058175000000000004,NA,NA,NA
2020-01-07,Healthcare,Healthcare,15,5,1,0.10863733333333334,0.091745333333333332,0.34999999999999998,0.079472333333333339,NA,NA,NA
2020-01-07,Industrials,Industrials,13,4,0.80000000000000004,0.030057142857142855,0.01155714285714286,0.20624999999999999,-0.0064903571428571423,NA,NA,NA
2020-01-07,Materials,Materials,3,3,0.59999999999999998,0.12726666666666667,0.12726666666666667,0.16666666666666666,0.063633333333333333,NA,NA,NA
2020-01-07,RealEstate,Real Estate,2,2,0.40000000000000002,0,0.125,0.25,0.0625,NA,NA,NA
2020-01-07,Tech,Tech,21,4,0.80000000000000004,0.0091026785714285706,0.0094401785714285751,0.031250000000000007,-0.0010066964285714286,NA,NA,NA
2020-01-07,Utilities,Utilities,1,1,0.20000000000000001,0.63690000000000002,0.63690000000000002,0.5,0.31845000000000001,NA,NA,NA
2020-01-08,Comm,Comm/Telecom,20,4,0.80000000000000004,0.1929775,0.16611874999999998,0.29772727272727273,0.10845585227272728,NA,NA,NA
2020-01-08,Consumer,Consumer,16,4,0.80000000000000004,0.071762500000000007,0.071762500000000007,0.20833333333333331,0.031666666666666669,NA,NA,NA
2020-01-08,Energy,Energy,17,5,1,-0.018874999999999986,-0.13338333333333333,0.20190476190476189,-0.067570285714285708,NA,NA,NA
2020-01-08,Financials,Financials,4,3,0.59999999999999998,0.46768333333333328,0.46768333333333328,0.44444444444444442,0.21204999999999999,NA,NA,NA
2020-01-08,Healthcare,Healthcare,13,3,0.59999999999999998,0.25715185185185185,0.25715185185185185,0.3666666666666667,0.12328407407407409,NA,NA,NA
2020-01-08,Industrials,Industrials,12,3,0.59999999999999998,0.020342857142857138,-0.026928571428571427,0.19444444444444442,-0.010843253968253965,NA,NA,NA
2020-01-08,Materials,Materials,6,2,0.40000000000000002,-0.09959999999999998,-0.14936250000000001,0.43333333333333335,-0.1471925,NA,NA,NA
2020-01-08,RealEstate,Real Estate,3,2,0.40000000000000002,-0.10079999999999999,-0.10079999999999999,0.41666666666666663,-0.064566666666666661,NA,NA,NA
2020-01-08,Tech,Tech,22,4,0.80000000000000004,0.087443124999999997,0.087443124999999997,0.22474747474747475,0.033418023989898987,NA,NA,NA
2020-01-08,Utilities,Utilities,3,3,0.59999999999999998,0.27973333333333333,0.27973333333333333,0.33333333333333331,0.13986666666666667,NA,NA,NA
2020-01-09,Comm,Comm/Telecom,6,5,1,0.16017999999999999,0.16017999999999999,0.23333333333333331,0.096920000000000006,NA,NA,NA
2020-01-09,Consumer,Consumer,25,5,1,0.28345626984126981,0.29338436507936511,0.47000000000000003,0.16441052380952381,NA,NA,NA
2020-01-09,Energy,Energy,10,4,0.80000000000000004,0.10351000000000002,0.04708749999999999,0.33333333333333331,0.048979166666666664,NA,NA,NA
2020-01-09,Financials,Financials,11,5,1,0.26152933333333334,0.25137333333333334,0.3666666666666667,0.12896666666666667,NA,NA,NA
2020-01-09,Healthcare,Healthcare,8,3,0.59999999999999998,0.15904444444444446,0.2423777777777778,0.33333333333333331,0.1211888888888889,NA,NA,NA
2020-01-09,Industrials,Industrials,9,5,1,0.033716666666666666,0.016789999999999999,0.11666666666666665,0.0058833333333333333,NA,NA,NA
2020-01-09,Materials,Materials,6,3,0.59999999999999998,0.042422222222222222,0.042422222222222222,0.083333333333333329,0.010605555555555556,NA,NA,NA
2020-01-09,RealEstate,Real Estate,1,1,0.20000000000000001,0,0,0,0,NA,NA,NA
2020-01-09,Tech,Tech,17,5,1,0.091543333333333338,0.092001333333333338,0.20714285714285713,0.034677333333333331,NA,NA,NA
2020-01-09,Utilities,Utilities,5,4,0.80000000000000004,0.073999999999999996,0.073999999999999996,0.125,0.036999999999999998,NA,NA,NA
2020-01-10,Comm,Comm/Telecom,8,4,0.80000000000000004,0.035845833333333341,0.035845833333333341,0.47916666666666663,0.053050000000000007,NA,NA,NA
2020-01-10,Consumer,Consumer,15,5,1,0.0041440000000000036,0.0041440000000000036,0.14666666666666667,-0.0025919999999999997,NA,NA,NA
2020-01-10,Energy,Energy,15,5,1,0.073962000000000014,-0.13090599999999999,0.23333333333333331,-0.071799333333333326,NA,NA,NA
2020-01-10,Financials,Financials,7,3,0.59999999999999998,0.21935833333333332,0.21935833333333332,0.24444444444444446,0.078743333333333332,NA,NA,NA
2020-01-10,Healthcare,Healthcare,12,5,1,0.24778000000000003,0.24778000000000003,0.3833333333333333,0.14286666666666664,NA,NA,NA
2020-01-10,Industrials,Industrials,8,3,0.59999999999999998,0.09254999999999998,0.018550000000000001,0.1111111111111111,0.004288888888888889,NA,NA,NA
2020-01-10,Materials,Materials,4,4,0.80000000000000004,-0.10715,-0.16975000000000001,0.25,-0.084875000000000006,NA,NA,NA
2020-01-10,RealEstate,Real Estate,6,5,1,-0.08412,0.038120000000000001,0.26666666666666666,0.023613333333333337,NA,NA,NA
2020-01-10,Tech,Tech,21,4,0.80000000000000004,0.30686583333333334,0.29376666666666668,0.55238095238095242,0.17940357142857144,NA,NA,NA
2020-01-10,Utilities,Utilities,7,4,0.80000000000000004,0.15612083333333332,0.027508333333333336,0.14583333333333331,0.0052500000000000003,NA,NA,NA
2020-01-13,Comm,Comm/Telecom,14,2,0.40000000000000002,0.0015479166666666697,0.0015479166666666697,0.055555555555555552,0.0042562499999999996,NA,NA,NA
2020-01-13,Consumer,Consumer,29,5,1,0.089085285714285714,0.07428528571428572,0.19523809523809527,0.020031993197278913,NA,NA,NA
