overlay_id,base_fund_id,family,method,variant,start_date,end_date,observations,annualisation,transaction_cost_bps,net_cumulative_return,net_annualised_return,net_annualised_volatility,net_sharpe_ratio,net_max_drawdown,gross_cumulative_return,gross_annualised_return,gross_sharpe_ratio,average_rebalance_turnover,total_turnover,transaction_cost_drag,rebalance_count
equity_risk_parity__finance_vader_naive,equity_risk_parity,Equity,Risk Parity,finance_vader_naive,2021-01-04,2023-12-29,753,252,5,0.32494741186965204,0.098740575143705156,0.1451843218782097,0.72123810753830142,-0.18641438137664668,0.32620540333961823,0.09908958899068887,0.72339901948155927,0.054228653833070482,1.8980028841574668,0.0012579914699661909,36
equity_risk_parity__evidence_aware_finance,equity_risk_parity,Equity,Risk Parity,evidence_aware_finance,2021-01-04,2023-12-29,753,252,5,0.32225451936130933,0.097992724316928959,0.14522896637515326,0.71637100881580662,-0.18554094395852172,0.32313272869314824,0.098236725583928042,0.71788223818788954,0.037939918944961112,1.3278971630736389,0.00087820933183890837,36
combined_equal_weight__plain_vader_naive,combined_equal_weight,Combined,Equal Weight,plain_vader_naive,2021-01-04,2023-12-29,753,252,5,0.52079023538555202,0.15061905966636346,0.21574267552180754,0.75850551563988977,-0.27792380565231267,0.52234138720251999,0.15101168183396574,0.76007172246671606,0.058253093877783269,2.0388582857224145,0.0015511518169679661,36
combined_equal_weight__finance_vader_naive,combined_equal_weight,Combined,Equal Weight,finance_vader_naive,2021-01-04,2023-12-29,753,252,5,0.52081831271143919,0.15062616886891944,0.2157735325668412,0.75845728612460261,-0.27721503517712598,0.52236352391161534,0.15101728307418449,0.76001708221432474,0.05802904305682529,2.0310165069888853,0.0015452112001761442,36
combined_equal_weight__evidence_aware_finance,combined_equal_weight,Combined,Equal Weight,evidence_aware_finance,2021-01-04,2023-12-29,753,252,5,0.51901988539185062,0.15017062910002976,0.21590389340750818,0.75629677067718093,-0.2782953271737838,0.52018190238376483,0.15046500779033667,0.75746996399637856,0.043695813608590782,1.5293534763006773,0.0011620169919142054,36
combined_minimum_variance__plain_vader_naive,combined_minimum_variance,Combined,Minimum Variance,plain_vader_naive,2021-01-04,2023-12-29,753,252,5,0.17186189472046709,0.05450897458116355,0.12699517892466342,0.48143592783565209,-0.15221040146016473,0.17505601957901495,0.055470006739720468,0.48856082022642772,0.15553434152730428,5.4437019534556494,0.0031941248585478643,36
combined_minimum_variance__finance_vader_naive,combined_minimum_variance,Combined,Minimum Variance,finance_vader_naive,2021-01-04,2023-12-29,753,252,5,0.17535676441701109,0.055560403756306886,0.12699175856519551,0.4892954674358006,-0.1529358970317154,0.17856186936588059,0.056522830405562052,0.49642106175347717,0.1556047996321849,5.4461679871264712,0.0032051049488694972,36
combined_minimum_variance__evidence_aware_finance,combined_minimum_variance,Combined,Minimum Variance,evidence_aware_finance,2021-01-04,2023-12-29,753,252,5,0.17014637598683713,0.053992098422501078,0.1270648917422266,0.47738335203802645,-0.15379857909235006,0.17316561750194381,0.054901442355897334,0.48412441422154651,0.14724499010014888,5.1535746535052107,0.0030192415151066854,36
combined_maximum_sharpe__plain_vader_naive,combined_maximum_sharpe,Combined,Maximum Sharpe,plain_vader_naive,2021-01-04,2023-12-29,753,252,5,0.58017343873581906,0.16546383934865405,0.23305773664482304,0.77324539031552442,-0.23291998405929681,0.5887720078558305,0.16758240185258666,0.78095385400368067,0.31007411800020895,10.852594130007313,0.0085985691200114456,36
combined_maximum_sharpe__finance_vader_naive,combined_maximum_sharpe,Combined,Maximum Sharpe,finance_vader_naive,2021-01-04,2023-12-29,753,252,5,0.58941643693949231,0.16774087222020606,0.23322938497312309,0.78122711732300187,-0.23064289286040052,0.59805671405389926,0.16986146988675266,0.78892093816813835,0.30976708980727619,10.841848143254666,0.0086402771144069579,36
combined_maximum_sharpe__evidence_aware_finance,combined_maximum_sharpe,Combined,Maximum Sharpe,evidence_aware_finance,2021-01-04,2023-12-29,753,252,5,0.5844128785857583,0.1665093317403874,0.23322502642607293,0.7767106914210109,-0.22792739245941196,0.59290842073689021,0.16859883691808353,0.78429866714079299,0.30555137703447488,10.694298196206621,0.0084955421511319074,36
combined_risk_parity__plain_vader_naive,combined_risk_parity,Combined,Risk Parity,plain_vader_naive,2021-01-04,2023-12-29,753,252,5,0.47654109372185527,0.13930483676248961,0.16192050425273996,0.88658244739835645,-0.19522956528492996,0.47805391227943717,0.13969535277258194,0.8886683541193221,0.058515940368529917,2.048057912898547,0.0015128185575818964,36
combined_risk_parity__finance_vader_naive,combined_risk_parity,Combined,Risk Parity,finance_vader_naive,2021-01-04,2023-12-29,753,252,5,0.47699931219462655,0.1394231484722519,0.16192994606927125,0.88718244517703881,-0.19558893121242638,0.47850549863376202,0.13981187284359597,0.8892581680038345,0.05824148320537606,2.0384519121881621,0.0015061864391354707,36
combined_risk_parity__evidence_aware_finance,combined_risk_parity,Combined,Risk Parity,evidence_aware_finance,2021-01-04,2023-12-29,753,252,5,0.47401343570372778,0.1386517576807178,0.16197039451270909,0.88281945851982802,-0.1950349479642941,0.47513633202931782,0.13894197590140012,0.88436866846815754,0.043514063836482722,1.5229922342768953,0.0011228963255900393,36
