date,fund_id,family,method,solver_success,attempts,status_code,message,iterations,objective_value,sum_residual,lower_bound_violation,upper_bound_violation,covariance_repair,minimum_eigenvalue,retry_used,near_identical_with,near_identical_warning,near_identical_explanation
2021-03-01,crypto_minimum_variance,Crypto,Minimum Variance,True,1,0,Optimization terminated successfully,13,0.7691868309718971,1.1102230246251565e-16,0.0,0.0,0.0,0.11920313881095965,False,,False,
2021-03-01,crypto_maximum_sharpe,Crypto,Maximum Sharpe,True,1,0,Optimization terminated successfully,4,-2.7664147903044,6.661338147750939e-16,0.0,0.0,0.0,0.11920313881095965,False,,False,
2021-03-01,crypto_risk_parity,Crypto,Risk Parity,True,1,0,Optimization terminated successfully,14,3.505193423568726e-13,2.220446049250313e-16,0.0,0.0,0.0,0.11920313881095965,False,,False,
2021-03-01,combined_equal_weight,Combined,Equal Weight,True,0,0,deterministic_equal_weight,0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,
2021-03-01,combined_minimum_variance,Combined,Minimum Variance,True,1,0,Optimization terminated successfully,30,0.05782613593798498,4.440892098500626e-16,0.0,0.0,0.0,0.008621972451066686,False,,False,
2021-03-01,combined_maximum_sharpe,Combined,Maximum Sharpe,True,1,0,Optimization terminated successfully,15,-3.1416708809654903,1.8673951274195133e-13,0.0,0.0,0.0,0.008621972451066686,False,,False,
2021-03-01,combined_risk_parity,Combined,Risk Parity,True,1,0,Optimization terminated successfully,19,9.996526085147201e-14,0.0,0.0,0.0,0.0,0.008621972451066686,False,,False,
2021-04-01,equity_equal_weight,Equity,Equal Weight,True,0,0,deterministic_equal_weight,0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,
2021-04-01,equity_minimum_variance,Equity,Minimum Variance,True,1,0,Optimization terminated successfully,32,0.021173663210789617,2.220446049250313e-16,0.0,0.0,0.0,0.008825305577195821,False,,False,
2021-04-01,equity_maximum_sharpe,Equity,Maximum Sharpe,True,1,0,Optimization terminated successfully,24,-3.230012191596598,9.992007221626409e-15,0.0,0.0,0.0,0.008825305577195821,False,,False,
2021-04-01,equity_risk_parity,Equity,Risk Parity,True,1,0,Optimization terminated successfully,20,1.817314713586937e-13,0.0,0.0,0.0,0.0,0.008825305577195821,False,,False,
2021-04-01,crypto_equal_weight,Crypto,Equal Weight,True,0,0,deterministic_equal_weight,0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,
2021-04-01,crypto_minimum_variance,Crypto,Minimum Variance,True,1,0,Optimization terminated successfully,12,0.5423883950239662,2.220446049250313e-16,0.0,0.0,0.0,0.12798993145229284,False,,False,
